,gene,slope,intercept,r_value,r_squared,p_value,std_err
0,A1CF,0.21511689584637295,7.756851088971592,0.35797227986415875,0.1281441531511436,0.002527933980128035,0.06855041139832137
1,A2M,0.09302027961324309,8.483794962686437,0.15187680316836383,0.02306656334064193,0.2128461682551822,0.0739573394085618
2,AAAS,-0.41544305676983734,11.81384061771702,-0.30017086989871966,0.09010255113575409,0.012212852605020603,0.16128789860550785
3,AACS,-0.07565149239864084,10.072356922606854,-0.05989354021344217,0.003587236159299214,0.6249384315901483,0.15403512143585746
4,AADACP1,0.026085863953332067,9.356827554087573,0.03440068562479202,0.0011834071714557721,0.7790047743868758,0.09258563284920525
5,AAED1,-0.17122563790560785,10.441356819440959,-0.21266314424571528,0.045225612920473904,0.07936731867733038,0.0961146393881351
6,AAGAB,-0.17048563163736838,10.742121021206433,-0.11488657475081691,0.013198925057975042,0.34721623468923757,0.18009261618178252
7,AAK1,0.16129733897448925,8.355834545926534,0.26826680870129666,0.0719670806507781,0.02583348473920534,0.07076272507648448
8,AAMDC,0.34648206633899015,7.010350253685743,0.2627133083507962,0.06901828238462053,0.02919399118064008,0.15546472469674436
9,AAMP,0.09067566037833723,8.70212645591201,0.05503622564443906,0.0030289861331856114,0.6533205480732109,0.20097681023669808
10,AAR2,-0.7766489994145443,14.892060213141729,-0.4982773971412051,0.24828036450181423,1.3192393172064569e-05,0.16509888711405757
11,AARS,-0.745833908959332,15.720750860594134,-0.607392634091654,0.36892581194879787,3.1356010627123914e-08,0.11917232458631558
12,AARS2,-0.17667928301388763,10.326254184494704,-0.12142231030755059,0.014743377440423106,0.32028777278889425,0.1764511187390311
13,AASDH,0.009929200340101516,9.376196241659555,0.008190530340670812,6.708478726144913e-05,0.9467458440551177,0.14809837078776222
14,AASDHPPT,-0.8648282979360652,16.627264612496926,-0.6408815444049005,0.4107291539588105,3.002204215453939e-09,0.1265529294172389
15,AATF,-0.9042859384299056,15.982252165069788,-0.6881994278560124,0.4736184525013428,6.403218685228956e-11,0.1164674045251361
16,AATK,0.34115488327156573,7.805595195706378,0.26344123426694616,0.06940128391209201,0.028733594162566788,0.15262007506869005
17,AB488780,-0.4596714131529295,10.916016251222146,-0.3266801036362604,0.10671989011179782,0.006150727350251462,0.16247301579858492
18,ABAT,0.12360349247437095,8.467284932025539,0.18220210861435998,0.03319760838351903,0.13402716606307694,0.0814908410466671
19,ABCA1,-0.09295183692508335,10.101316321515155,-0.14499420203833827,0.021023318624734458,0.2345566069889326,0.07749186493818772
20,ABCA11P,-0.21699926359514626,10.248732986116984,-0.17480195715628724,0.03055572422566848,0.1508390340485246,0.149326193008505
21,ABCA13,-0.07974514185422131,9.663858822614714,-0.07149755781667559,0.005111900773748869,0.5593539943407153,0.1359135461576973
22,ABCA5,0.4400279749522421,7.569325383454266,0.4414423955272013,0.19487138856879405,0.00014651646621845695,0.10927013425705781
23,ABCA8,0.1407449765802852,8.657537534742428,0.6031038675692248,0.3637342750769571,4.153141190784309e-08,0.02274168567670736
24,ABCB1,0.09318526190417355,8.872550085547667,0.20640478304342352,0.042602934463202735,0.08883406012349368,0.053967974394838386
25,ABCB10,0.05063450802567074,9.05160429411976,0.0326607223606169,0.0010667227851173008,0.7899195731825869,0.18930045067749163
26,ABCB6,-0.2364482766087427,10.212831001981336,-0.2414927299192462,0.058318738603849986,0.04560449388591587,0.11607712818150338
27,ABCB7,0.038931433338130206,9.153368588685066,0.02223842555396826,0.0004945475711193885,0.8560741111074913,0.21382158240216048
28,ABCC1,-0.5837740575461524,12.36429689520164,-0.7774623923637963,0.6044477715400376,3.971027358627256e-15,0.05769390265492931
29,ABCC10,-0.4955061948630743,12.283218833250665,-0.5856662385099495,0.343004942930393,1.249184184299935e-07,0.08378042302639743
30,ABCC13,0.2519524779071222,8.325336189351368,0.6075726460844002,0.36914452026999983,3.09854763878884e-08,0.04023907228560281
31,ABCC3,0.1318116100837601,8.557223892172045,0.12869915554818845,0.016563472638816804,0.2919215728947989,0.12408341394683062
32,ABCC4,-0.17635884145384984,10.788333445241989,-0.197619704122477,0.03905354745745536,0.10359717603332198,0.10687575236665306
33,ABCC5,-0.29609685355209836,10.538095762760857,-0.16127034456018835,0.02600812403456187,0.185561816017693,0.22137039727740052
34,ABCD1,-0.19084291542345733,10.107080672383576,-0.1178812922860773,0.013895999071035588,0.3347073138124238,0.1964061639131391
35,ABCD3,0.5057319676785715,4.849354157084007,0.3955644950779458,0.15647126976627018,0.000767902208539207,0.14345498397964232
36,ABCD4,0.22584053722345224,7.909935516453476,0.1532434948524585,0.023483568714595476,0.20870965545323636,0.17791895809078717
37,ABCE1,-0.5767043445946877,14.579950405208706,-0.6411888265296984,0.4111231112665317,2.934374486679989e-09,0.08432223928363959
38,ABCF1,-0.511954067271301,13.69105182844746,-0.4270132110249372,0.18234028238982758,0.0002530886657143609,0.13244592050605666
39,ABCF2,-0.7707292094129847,15.286992250925222,-0.5844906884278837,0.3416293648589014,1.3423423356397831e-07,0.13071398239937373
40,ABCF3,-0.21623184458861675,10.656840994192422,-0.1862051708151786,0.03467236563830984,0.12554438899544304,0.13938880161326003
41,ABCG1,-0.12141562855301218,10.098473975942587,-0.13202291573941166,0.017430050280335792,0.27953179936947586,0.11137035655971339
42,ABCG2,0.1548447803530833,8.73372330915874,0.6791623042066554,0.46126143545529347,1.4105931642568384e-10,0.02044441218486654
43,ABHD10,0.0703983515212814,8.901310015081718,0.05558685010020016,0.0030898979040621228,0.6500774177628853,0.15448311637550147
44,ABHD11,-0.11734898378528602,10.44501965477928,-0.10383915218430702,0.010782569526355673,0.3958292143674922,0.13731774984106046
45,ABHD12,0.3119857622938792,7.1250510037521,0.2138469152433896,0.04573050315911346,0.07767034296013242,0.1741124813125078
46,ABHD13,-0.2980307882742485,11.066847632744066,-0.20713834058457997,0.04290629214013345,0.08768047125836329,0.17196515993489875
47,ABHD14B,-0.23813398162822405,11.52520405915086,-0.15384981103283954,0.023669764354840434,0.2068928953417714,0.18684667528322585
48,ABHD15,0.13436227166591827,8.658958077410647,0.08955023809417462,0.008019245142723362,0.4643256253894702,0.18256806598545725
49,ABHD16A,-0.6114300146341954,14.297216499086261,-0.34206201058873037,0.11700641908800469,0.004017336089049184,0.20520279971318534
50,ABHD17A,0.8383728089191109,2.038211744029577,0.45478236839925634,0.20682700260683692,8.645379022720048e-05,0.20057653490532254
51,ABHD17B,-0.6875325531950142,15.669725829031515,-0.5125398029809571,0.2626970496397584,6.722079552283762e-06,0.1407185180599502
52,ABHD17C,0.05993002198651216,8.851107677981014,0.054835351603931506,0.0030069157855267935,0.654505278251252,0.13331913157510872
53,ABHD2,-0.30410008962179413,11.514548009406807,-0.45853040783865834,0.21025013491268635,7.42493894381825e-05,0.07200386109232494
54,ABHD3,0.514997628694531,3.9987285541656714,0.4885239559242917,0.2386556555119193,2.056617837172349e-05,0.11237572994904593
55,ABHD4,0.005177972429194366,9.408305653581895,0.0030866513925324546,9.527416819022542e-06,0.9799183321003659,0.20494280715205274
56,ABHD5,0.2652082555163362,7.94280216395876,0.2041410785497308,0.04167357995144736,0.09246943064293058,0.15537314734802551
57,ABHD6,0.6002877170349362,5.787032451576818,0.5106871411355488,0.2608013561211999,7.350013272304928e-06,0.12346609536294605
58,ABI1,-1.1327233618716985,20.781748830810763,-0.589004088707461,0.3469258165141066,1.0168486599404174e-07,0.18986696349770796
59,ABI2,-1.141496573466203,15.379805517080849,-0.6047178693649019,0.3656837015292266,3.7381315356993504e-08,0.18366962695958575
60,ABI3,0.33946396337913487,7.773440521787195,0.22881468559502083,0.05235616034394823,0.05860737950009079,0.17643914860411597
61,ABI3BP,0.1674161263044152,8.43260243625274,0.40944616216273405,0.1676461597097919,0.00047678463559457497,0.04557399251626804
62,ABL1,-0.32741925893160007,12.008047817963652,-0.28763212198967136,0.08273223760028119,0.01655320215605555,0.13319180356091667
63,ABL2,-0.3225870390943249,10.97992120634728,-0.3185251499133328,0.10145827112731114,0.007644205064346535,0.11728295767591525
64,ABLIM1,-0.47149578336146275,13.112840165391567,-0.5612120331145254,0.31495894611253916,5.27092335107529e-07,0.08495163407139475
65,ABLIM2,-0.3843685832195203,10.83130816402392,-0.23061779801835727,0.05318456876283583,0.05659273428535607,0.1981300386259175
66,ABR,-0.12622792578491251,10.411406082404108,-0.10815272239852196,0.011697011362211754,0.37638855972166285,0.14175084057600723
67,ABRACL,0.4064301030145534,5.103905189337578,0.2338910533101726,0.054705024818542,0.05307958225169619,0.20640420032619966
68,ABT1,-0.012261680024562408,9.513990642025325,-0.013069826932223331,0.00017082037603827034,0.9151164125111528,0.1146055485732193
