KO : AOMDSS : AN-08_4,AOMDSS-KO
KO : AOMDSS : X-11_1,AOMDSS-KO
KO : AOMDSS : MPC-APC-Lrig N-43A_2,AOMDSS-KO
KO : AOMDSS : MPC-Lrig V-32_3,AOMDSS-KO
KO : AOMDSS : MPC-Lrig V29_3,AOMDSS-KO
KO : AOMDSS : APC-AJ-01_2,AOMDSS-KO
WT : AOMDSS : APC AJ-08_1,AOMDSS-WT
WT : AOMDSS : W-25_1,AOMDSS-WT
WT : AOMDSS : W23_1,AOMDSS-WT
WT : AOMDSS : W26_1,AOMDSS-WT
WT : AOMDSS : W27_1,AOMDSS-WT
WT : AOMDSS : APC AJ-04_1,AOMDSS-WT
WT : AOMDSS : APC AJ-08_2,AOMDSS-WT
WT : AOMDSS : APC AJ-08_3,AOMDSS-WT
WT : AOMDSS : APC AJ-08_4,AOMDSS-WT
WT : AOMDSS : W25_2,AOMDSS-WT
WT : AOMDSS : W27_2,AOMDSS-WT
WT : AOMDSS : APC Y07_2,AOMDSS-WT
WT : AOMDSS : APC X-09_1,AOMDSS-WT
WT : AOMDSS : APC U-30_1,AOMDSS-WT
WT : AOMDSS : APC Y-07_2,AOMDSS-WT
WT : AOMDSS : APC M-24_1,AOMDSS-WT
WT : AOMDSS : APC M-24_2,AOMDSS-WT
WT : AOMDSS : APC P-36_1,AOMDSS-WT
WT : AOMDSS : Tantin_1,AOMDSS-WT
WT : AOMDSS : Tantin_2,AOMDSS-WT
WT : AOMDSS : Tantin_3,AOMDSS-WT
WT : AOMDSS : Tantin_4,AOMDSS-WT
WT : AOMDSS : Tantin_5,AOMDSS-WT
WT : AOMDSS : AD12_p1AOMDSS,AOMDSS-WT
WT : AOMDSS : AD12_p2AOMDSS,AOMDSS-WT
WT : AOMDSS : AO22_p1AOMDSS,AOMDSS-WT
WT : AOMDSS : AO22_p2AOMDSS,AOMDSS-WT
WT : AOMDSS : AO22_p3AOMDSS,AOMDSS-WT
WT : AOMDSS : AD14_p1AOMDSS,AOMDSS-WT
WT : AOMDSS : AD14_p2AOMDSS,AOMDSS-WT
WT : APC : AD14_p3AOMDSS,AOMDSS-WT
KO : AOMDSS : AH03_p1AOMDSS,AOMDSS-WT
WT : Norm : AR37_60,Normal-WT
WT : Norm : AZ26_60,Normal-WT
WT : Norm : G30_60,Normal-WT
KO : Norm : G29_60,Normal-KO
KO : Norm : AZ27_60,Normal-KO
KO : Norm : AR38_60,Normal-KO
WT : AOMDSS : AD12_AOMDSS,Normal-WT
WT : AOMDSS : AO22_AOMDSS,Normal-WT
WT : AOMDSS : AH03_AOMDSS,Normal-WT
WT : AOMDSS : AD14_AOMDSS,Normal-WT
KO : AOMDSS : AN08_2,AOMDSS-KO
KO : AOMDSS : AN08_1,AOMDSS-KO
KO : AOMDSS : N43A_3,AOMDSS-KO
KO : AOMDSS : APC AJ01_1,AOMDSS-KO
KO : AOMDSS : V32_2,AOMDSS-KO
KO : AOMDSS : V32_4,AOMDSS-KO
KO : AOMDSS : V32_5,AOMDSS-KO
KO : AOMDSS : V29_1,AOMDSS-KO
KO : AOMDSS : V29_2,AOMDSS-KO
KO : AOMDSS : V29_5,AOMDSS-KO
KO : AOMDSS : V29_7,AOMDSS-KO
