WT : APC : Tantin_13,APC-WT
WT : APC : Tantin_14,APC-WT
WT : APC : Tantin_15,APC-WT
WT : APC : Tantin_19,APC-WT
WT : APC : Tantin_6,APC-WT
WT : APC : Tantin_7,APC-WT
WT : APC : Tantin_9,APC-WT
WT : APC : Tantin_10,APC-WT
WT : APC : Tantin_11,APC-WT
WT : APC : K28_APC,Normal-WT
WT : APC : K30_APC,Normal-WT
WT : APC : K16_APC,Normal-WT
WT : APC : S01_APC,Normal-WT
WT : APC : K17_APC,Normal-WT
WT : APC : K19_APC,Normal-WT
WT : APC : K23_APC,Normal-WT
KO : APC : S06_APC,Normal-KO
KO : APC : S02_APC,Normal-KO
KO : APC : N19_APC,Normal-KO
KO : APC : N22_APC,Normal-KO
KO : APC : M15_APC,Normal-KO
WT : APC : K28_p1APC,APC-WT
WT : APC : K30_p1APC,APC-WT
WT : APC : K30_p2APC,APC-WT
WT : APC : K16_p1APC,APC-WT
WT : APC : K16_p2APC,APC-WT
WT : APC : K16_p3APC,APC-WT
WT : APC : S01_p1APC,APC-WT
KO : APC : S06_p1APC,APC-KO
KO : APC : S02_p1APC,APC-KO
KO : APC : S02_p2APC,APC-KO
WT : APC : K17_p1APC,APC-WT
WT : APC : K19_p1APC,APC-WT
WT : APC : K19_p2APC,APC-WT
WT : APC : K19_p3APC,APC-WT
WT : APC : K23_p1APC,APC-WT
WT : APC : K23_p2APC,APC-WT
KO : APC : N19_p1APC,APC-KO
KO : APC : N22_p1APC,APC-KO
KO : APC : M15_p1APC,APC-KO
KO : APC : M15_p2APC,APC-KO
KO : APC : L30_p1APC,APC-KO
KO : APC : L30_p2APC,APC-KO
KO : APC : L35_p1APC,APC-KO
KO : APC : L35_p2APC,APC-KO
KO : APC : L30_p3APC,APC-KO
KO : APC : L30_p4APC,APC-KO
KO : APC : L35_p5APC,APC-KO
WT : Norm : AR37_60,Normal-WT
WT : Norm : AZ26_60,Normal-WT
WT : Norm : G30_60,Normal-WT
KO : Norm : G29_60,Normal-KO
KO : Norm : AZ27_60,Normal-KO
KO : Norm : AR38_60,Normal-KO
KO : APC : L35_p3APC,APC-KO
KO : APC : L35_p4APC,APC-KO
