,KO : AOMDSS : AN-08_4,KO : AOMDSS : X-11_1,KO : AOMDSS : MPC-APC-Lrig N-43A_2,KO : AOMDSS : MPC-Lrig V-32_3,KO : AOMDSS : MPC-Lrig V29_3,KO : AOMDSS : APC-AJ-01_2,WT : AOMDSS : APC AJ-08_1,WT : AOMDSS : W-25_1,WT : AOMDSS : W23_1,WT : AOMDSS : W26_1,WT : AOMDSS : W27_1,WT : AOMDSS : APC AJ-04_1,WT : AOMDSS : APC AJ-08_2,WT : AOMDSS : APC AJ-08_3,WT : AOMDSS : APC AJ-08_4,WT : AOMDSS : W25_2,WT : AOMDSS : W27_2,WT : AOMDSS : APC Y07_2,WT : AOMDSS : APC X-09_1,WT : AOMDSS : APC U-30_1,WT : AOMDSS : APC Y-07_2,WT : AOMDSS : APC M-24_1,WT : AOMDSS : APC M-24_2,WT : AOMDSS : APC P-36_1,WT : AOMDSS : Tantin_1,WT : AOMDSS : Tantin_2,WT : AOMDSS : Tantin_3,WT : AOMDSS : Tantin_4,WT : AOMDSS : Tantin_5,WT : AOMDSS : AD12_p1AOMDSS,WT : AOMDSS : AD12_p2AOMDSS,WT : AOMDSS : AO22_p1AOMDSS,WT : AOMDSS : AO22_p2AOMDSS,WT : AOMDSS : AO22_p3AOMDSS,WT : AOMDSS : AD14_p1AOMDSS,WT : AOMDSS : AD14_p2AOMDSS,WT : APC : AD14_p3AOMDSS,KO : AOMDSS : AH03_p1AOMDSS,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,WT : AOMDSS : AD12_AOMDSS,WT : AOMDSS : AO22_AOMDSS,WT : AOMDSS : AH03_AOMDSS,WT : AOMDSS : AD14_AOMDSS,KO : AOMDSS : AN08_2,KO : AOMDSS : AN08_1,KO : AOMDSS : N43A_3,KO : AOMDSS : APC AJ01_1,KO : AOMDSS : V32_2,KO : AOMDSS : V32_4,KO : AOMDSS : V32_5,KO : AOMDSS : V29_1,KO : AOMDSS : V29_2,KO : AOMDSS : V29_5,KO : AOMDSS : V29_7
Acly,5818.33,6703.02,5412.25,7123.41,12658.81,9270.47,6318.05,9455.16,6710.55,8375.77,11127.09,8023.41,5783.16,5975.63,4937.08,7296.9,4857.99,5939.19,7043.01,7683.4,6589.11,7010.73,7991.31,4838.98,6847.72,7242.59,6534.29,4622.28,6207.54,5344.78,5240.94,7168.52,4329.81,5820.23,3749.14,4869.16,5609.78,7813.03,7446.44,7769.05,8609.02,8105.36,6704.76,5477.23,12319.2,10041.3,11050.78,7018.62,5402.15,6948.39,5945.23,5316.13,5269.84,6635.97,5838.58,11160.26,6184.66,6525.85,6221.28
Actb,267425.22,287577.91,267448.31,307238.53,296328.53,304726.09,268482.72,347900.69,286837.44,333408,335513.09,356954.75,223016.34,248351.31,270007.84,289634.88,284681.19,302953.31,272290.88,295150.84,249906.28,267363.19,271052.28,267303.59,296043.09,280779.94,302789.62,356440.62,327412.06,387169.69,344345.16,322039.59,239439.86,326929,240526.77,303389.41,237730.84,450188.34,313979.97,322173.81,315426.31,311106.5,326910.25,284524.31,331589.06,319866.41,259998.53,292488.81,294915.25,327683.94,276242.62,197036.58,202314.33,235756.45,241144.94,303815.34,266343.12,227432.16,225937.06
Ascl2,687.45,1046.27,649.81,1795.21,931.57,1665.15,779.84,950.27,179.56,497.81,222.05,1124.31,1180.44,1260.79,677.24,1169.87,243.57,396.46,1778.11,1045.36,1020.98,918.27,1252.52,191.05,1023.1,232.45,629.73,478.46,605.94,275.23,632.78,1111.04,530.08,848.71,438.17,582.4,744.08,827.05,168.99,169.12,174.64,230.14,165.75,166.44,276.27,338.13,242.95,182.14,1715.2,1337.2,1964.84,1497.26,1575.15,2588.26,2759.09,1570.43,1154.81,1699.62,1088.03
Atoh1,484.1,690.07,551.87,596.95,1256.33,409.63,409.94,526.04,1321,539.21,1073.96,556.82,628.66,328.33,346.36,716.19,920.88,1477.02,433.21,720.86,661.35,698.53,580.24,1139.01,349.27,1510.94,739.11,545.83,1768.45,871.55,514.96,329.68,507.79,362.23,568.12,540.63,511.94,606.5,1520.92,1843.86,2027.95,2182.21,1718.75,1396.13,2124,2270.31,1595.57,1893.18,638,903.01,531,722.95,753.85,923.46,1302.86,1117.66,777.21,901.97,1595.68
Axin2,11198.08,7521.5,11095.73,11818.1,6946.89,16456.65,12604.23,5287.56,1073.76,4278.64,960.73,9335.9,16560.88,15040.85,9356.42,10764.03,794.09,979.5,11278.47,9965.77,7762.47,9064.69,9013.73,1093.8,9878.22,3252.17,6832.58,5238.93,4041.11,2301.47,5113.85,7256.78,10599.11,9692.17,8511,8515.53,6587.53,4429.29,1054.25,838.12,1200.55,1020.11,1073.66,1213.19,1675.43,1394.79,1956.7,1121.03,8312.75,4825.38,14300.38,17844.66,11726.67,12814.73,12929.92,8947.38,10544.29,9541.41,6295.46
B2m,246819.05,206312,190122.88,175390.22,158844.75,148456.8,188470.38,93681.63,213999.5,174407.34,205695.53,123964.59,176984.16,207690.77,194956.52,155356.14,200822.47,211976.36,215276.64,148478.14,191494.19,189696.92,188862.23,194010.03,171427.61,124677.96,198065.34,196726.69,144676.47,158374.02,209918.2,176074.61,248333.56,186942.33,167974.38,160000.25,254866.11,59755.55,178633.97,140212.55,125139.46,147094.52,139390.41,168835.39,176443.48,166831.7,170896.33,182440.59,183568.19,181742.39,136369.84,214259.69,149124.8,93998.8,115969.93,142016,192597.64,199465.91,121110.59
Bmi1,669.24,685.6,777.89,1047.71,859.65,1067.33,862.13,777.18,655.99,841.72,627.21,928.35,861.77,988.28,802.22,962,637.28,808.48,940.38,895.09,839.64,744.79,882.37,622.74,979,529.47,825.28,668.47,658.31,540.96,612.92,594.46,686.13,724.45,543.42,677.53,634.92,653.47,333.33,315.79,305.39,380.3,303.13,407.15,398.06,380.4,439.93,348.88,917.37,997.57,1245.1,699.25,622.49,1192.1,1131.27,925.94,794.52,816.15,1009.49
Ccnd1,1129.06,1210.41,1118.8,1086,830.44,1402.83,1170.5,1187.83,689.37,756.8,419.32,1172.81,1206.48,1057.23,961.71,842.13,442.09,388.69,1085.28,705.62,775.64,1276.78,1650.68,522.11,532.72,301.33,429.21,405.92,508.69,347.99,420.97,565.9,400.04,557.99,368.36,453.62,439.68,598.33,277.52,194.56,225.22,135.47,161.27,244.84,243.59,428.7,269.21,215.48,1203.46,765.83,904.25,1016.61,818.94,976.41,964.24,738.31,873.18,787.54,821.84
Cd44,11059.98,11310.17,9123.7,11543.99,6697.43,11806.21,14129.81,15855.89,9392.24,15186.99,4940.76,11439.01,6942.52,8127.84,9642.07,8645.82,5311.76,5115.17,9950.17,7496.1,6128.91,9485.66,11242.66,5264.84,8334.74,3579.32,5205.22,5335.66,6996.01,2755.43,5021.19,9272.48,4322.38,5257.54,3944.59,4221.8,8011.12,5977.19,989.14,989.28,1191.96,964.61,815.32,1346.61,735.23,1038.55,1805.68,1585.35,12806.93,9568.19,11705.95,7458.65,8262.75,10704.34,10088.83,8339.61,6178.37,8898.58,7699.14
Cdx2,443.89,465.63,712.91,482.96,650.64,372.57,319.5,762.48,8988.91,538.15,1050.08,785.75,448.86,323.41,572.5,587.21,10129.71,7711.62,134.34,618.5,1878.9,481.11,748.31,9269.62,291.05,4149.69,926.37,1818.86,1092.19,2545.06,239.61,332.27,360.4,457.18,400.58,721.62,767.14,486.02,8680.54,10003.53,10376.44,10411.62,8529.54,13288.68,5384.27,7656.27,9908.27,7880.56,1165.85,1418.45,901.43,425.34,647.34,1184.35,2336.95,701.6,722.15,1455.61,6013.27
