,WT : APC : Tantin_13,WT : APC : Tantin_14,WT : APC : Tantin_15,WT : APC : Tantin_19,WT : APC : Tantin_6,WT : APC : Tantin_7,WT : APC : Tantin_9,WT : APC : Tantin_10,WT : APC : Tantin_11,WT : APC : K28_APC,WT : APC : K30_APC,WT : APC : K16_APC,WT : APC : S01_APC,WT : APC : K17_APC,WT : APC : K19_APC,WT : APC : K23_APC,KO : APC : S06_APC,KO : APC : S02_APC,KO : APC : N19_APC,KO : APC : N22_APC,KO : APC : M15_APC,WT : APC : K28_p1APC,WT : APC : K30_p1APC,WT : APC : K30_p2APC,WT : APC : K16_p1APC,WT : APC : K16_p2APC,WT : APC : K16_p3APC,WT : APC : S01_p1APC,KO : APC : S06_p1APC,KO : APC : S02_p1APC,KO : APC : S02_p2APC,WT : APC : K17_p1APC,WT : APC : K19_p1APC,WT : APC : K19_p2APC,WT : APC : K19_p3APC,WT : APC : K23_p1APC,WT : APC : K23_p2APC,KO : APC : N19_p1APC,KO : APC : N22_p1APC,KO : APC : M15_p1APC,KO : APC : M15_p2APC,KO : APC : L30_p1APC,KO : APC : L30_p2APC,KO : APC : L35_p1APC,KO : APC : L35_p2APC,KO : APC : L30_p3APC,KO : APC : L30_p4APC,KO : APC : L35_p5APC,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,KO : APC : L35_p3APC,KO : APC : L35_p4APC
Acly,10321.11,7929.26,7463.8,8566.05,10887.09,11445.13,9218,7407.94,9127.59,12660.97,8976.98,9294.91,6314.32,9574.85,11166.85,8052.88,8788.17,6987.56,7347.11,9136.68,9927.8,6705.56,6040.17,7572.33,6596.83,12036.49,10989.07,12187.6,9039.68,10222.28,7072.36,9906.82,7404.94,7181.87,8030.96,5590.88,5557.75,7422.25,9141.55,8220.23,6482.43,8110.13,6754.2,8393.06,8176.18,5378.02,5515.52,6578.09,7446.44,7769.05,8609.02,8105.36,6704.76,5477.23,7671.1,6137.73
Actb,331947.22,396876.66,322915.16,317004.94,370374,346217.88,308671.72,350256.28,278039.56,196904.67,242738.55,252572.58,88742.22,100776.6,177842.02,236593.56,71359.9,78230.34,238881.8,238160.64,245253.45,319915.47,337601.97,435292.16,345703.31,341990.41,327684.5,364983.47,312715.78,220505.78,313564.09,418701.22,331879.91,266077.81,377385.38,339542,89758.1,315723.91,321711.25,295725.56,294879.12,300522.38,307291.72,283580.56,262146.34,354533.31,300018.16,251019.53,313979.97,322173.81,315426.31,311106.5,326910.25,284524.31,388882.88,255828.53
Ascl2,823.25,723.25,936.61,373.66,703.6,575.02,1185.06,1122.55,838.85,285.51,224.73,189.52,738.04,471.69,191,207.41,451.96,1215.23,147.12,201.14,224.88,1282.54,934.61,585.82,656.87,854.07,902.7,1402.83,2270.02,1997.06,959.6,707.76,1011.91,942.31,785.91,566.62,649.72,950.24,1537.89,1390.86,780.36,982.49,781.61,1516.7,1758.53,591.16,728.16,1590.89,168.99,169.12,174.64,230.14,165.75,166.44,1167.58,1443.84
Atoh1,690.6,483.27,496.25,848.38,936.47,1022.87,274.77,650.14,278.7,1855.83,1924.08,1747.35,478.36,573.81,1846.29,1539.04,2195.25,360.77,1732.44,2158.03,2044.93,762.45,624.04,414.96,553.65,1310.49,1153.3,920.35,576.69,239.88,744.62,557.18,454.33,252.5,177.65,569.42,263.4,513,629.14,294.27,146.8,527.97,447.37,454.77,431.21,843.57,356.47,603.63,1520.92,1843.86,2027.95,2182.21,1718.75,1396.13,624.13,549.07
Axin2,8523.02,6191.47,6998.85,4284.2,4717.41,6026.66,12988.09,7077.25,14153.84,1137.12,923.56,706.02,4277.89,4673.15,1311.5,946.87,2855.26,4167.85,1210.01,975.03,1001.48,5839.6,6966.07,2964.38,5548.97,5138.24,5105.83,9187.33,15144.5,11629.75,9106.83,4993.88,9231.1,9883.85,6777.75,4546.95,3907.11,8729.64,8792.03,11807.04,7448.23,7740.55,4267.98,8371.63,9520.34,4491.28,8603.12,9467.06,1054.25,838.12,1200.55,1020.11,1073.66,1213.19,6483.34,10191.95
B2m,163335.42,112224.4,237954.3,169198.88,119783.06,136003.5,173913.92,169876.44,174384.58,119678.66,127106.1,155801.77,124919.73,256089.47,200468.58,224723.17,135624.7,183651.41,209100.02,191618.11,195437.55,146795.3,138087.86,86002.32,190429.14,129254.79,163457.83,33635.52,43758.54,92500.46,58501.18,82582.6,87750,176800.41,157023.61,105699.17,95754.85,206145.58,111455.68,171358.88,303944.09,229480.14,278372.34,189171.16,137903.5,152370.33,261371.47,252002.08,178633.97,140212.55,125139.46,147094.52,139390.41,168835.39,84488.51,135416.34
Bmi1,1016.95,802.69,809.19,648.62,776.22,1000.76,1046.91,742.37,1321.12,541.49,409.44,449.85,437.36,340.4,566.62,438.87,545.22,151.9,408.34,443.2,413.78,613.5,748.85,724.14,509.85,816.03,654.96,754.12,1006.45,901.71,797.59,702.12,914.55,757.49,679.71,845.75,1079.94,751.1,918.29,1029.96,654.81,690.96,485.93,816.69,980.33,567.91,670.56,789.97,333.33,315.79,305.39,380.3,303.13,407.15,693.6,920.66
Ccnd1,888.52,663.67,476.13,430.07,515.81,315.16,922.57,663.63,774.64,191.98,221.65,168.7,410.02,413.34,229.19,249.49,265.44,446.22,177.15,150.01,203.89,590.78,525.36,469.2,403.5,373.44,301.85,620.33,760.35,679.17,604.42,489.41,802.45,830.38,612.12,622.45,263.4,497.85,603.72,563.56,776.5,541.75,527.07,692.87,650.19,451.67,495.58,520.64,277.52,194.56,225.22,135.47,161.27,244.84,1192.24,521.34
Cd44,10386.38,10327.4,7618.04,8321.64,8242.94,7701.96,14374.24,8172.8,10422.74,1900.13,1659.32,1337.07,2856.48,3457.45,1999.08,1367.7,4756.37,2734.26,1258.05,1084.13,1319.31,7892.17,7546.58,7998.13,6299.68,5363,4405.31,5282.92,7779.79,9771.42,7259.29,6255.06,7658.65,8251.73,8166.12,6023.52,8850.26,5688.45,6329.5,6773.85,7940.78,4262.81,5070.15,7700.18,8651.18,4637.41,4924.3,5675.38,989.14,989.28,1191.96,964.61,815.32,1346.61,10281.91,8102.91
Cdx2,1282.24,857.31,462.72,2657.94,2135.85,984.17,222.58,1626.46,229.52,11568.15,13182.24,9632.3,24396.25,15808.95,8193.7,8738.23,8996.21,21408.91,8428.01,7820.73,8758.41,2176.28,4345.09,195.27,387.86,117.56,71.19,956.84,396.7,401.72,6548.94,199.53,749.34,200.44,156.41,4440.88,377.54,225.11,441.67,266.51,156.46,583.07,305.96,238.1,367.2,3894.58,177.15,93.17,8680.54,10003.53,10376.44,10411.62,8529.54,13288.68,134.46,146.05
